,particle_id,vx,vy,vz,px,py,pz,q,nhits,p,pt,eta,phi
0,4503737066323968,0.00114712,-0.00135934,-11.1036,-20.4019,-62.8475,-43.0552,-1,11,78.865685,66.076065,-0.61256576,4.398496
1,4503943224754176,0.00114712,-0.00135934,-11.1036,4.02347,6.96287,-33.2953,-1,10,34.252693,8.041758,-2.1281898,1.0468255
2,4504080663707648,0.00114712,-0.00135934,-11.1036,-0.151002,-0.200428,-1.91203,-1,11,1.9284273,0.2509442,-2.728114,4.066717
3,4504149383184384,0.00114712,-0.00135934,-11.1036,-0.882571,0.217307,-18.5596,1,14,18.581844,0.90893006,-3.7102258,2.9001744
4,4504286822137856,0.00114712,-0.00135934,-11.1036,-0.708684,0.783052,-8.7523,-1,12,8.81579,1.0561267,-2.8114786,2.3063824
5,4504355541614592,0.00114712,-0.00135934,-11.1036,-0.285582,1.00606,-13.012,1,8,13.05396,1.0458077,-3.215833,1.8473824
6,4504492980568064,0.00114712,-0.00135934,-11.1036,-0.249483,-0.292397,0.294982,1,13,0.48451227,0.38436672,0.70704824,4.0060205
7,4504561700044800,0.00114712,-0.00135934,-11.1036,-0.296399,0.821835,-2.40737,1,14,2.560995,0.87365043,-1.7381656,1.9169317
8,4504630419521536,0.00114712,-0.00135934,-11.1036,0.169067,-0.0327636,-0.780709,1,4,0.79947716,0.17221238,-2.2165685,6.0917673
9,4504699138998272,0.00114712,-0.00135934,-11.1036,-0.253016,0.197823,-3.59027,-1,12,3.6046069,0.32117134,-3.109147,2.4780111
10,4504767858475008,0.00114712,-0.00135934,-11.1036,0.119981,0.213815,-1.05548,1,12,1.0835822,0.24517809,-2.1661377,1.0594375
11,4504836577951744,0.00114712,-0.00135934,-11.1036,10.7954,5.38816,-21.4745,-1,13,24.631832,12.06536,-1.3406117,0.46294042
12,4504905297428480,0.00114712,-0.00135934,-11.1036,2.34214,0.436308,-3.67747,1,13,4.3817544,2.3824325,-1.2186952,0.18417497
13,4504974016905216,0.00114712,-0.00135934,-11.1036,2.32885,0.410469,-0.999719,-1,13,2.567385,2.3647468,-0.41108313,0.1744621
14,4505180175335424,0.00114712,-0.00135934,-11.1036,-0.811746,-0.375315,-16.621,1,15,16.645042,0.8943114,-3.6162431,3.5746737
15,4505248894812160,0.00114712,-0.00135934,-11.1036,-1.38813,0.136708,-37.2391,-1,1,37.265217,1.3948455,-3.9780624,3.0434256
16,4505317614288896,0.00114712,-0.00135934,-11.1036,0.146052,-0.184646,-4.72953,-1,14,4.735386,0.23542584,-3.693928,5.381608
17,4505455053242368,0.00114712,-0.00135934,-11.1036,0.805283,-0.0612532,1.44005,1,5,1.6510532,0.8076092,1.342205,6.2072673
18,4505523772719104,0.00114712,-0.00135934,-11.1036,-0.102295,0.634953,0.850971,-1,11,1.0666683,0.64314044,1.0924871,1.7305301
19,4505592492195840,0.00114712,-0.00135934,-11.1036,0.310516,0.130307,0.638527,1,16,0.7218842,0.33674932,1.3962036,0.3973276
20,4505661211672576,0.00114712,-0.00135934,-11.1036,-0.352367,1.97054,1.20126,1,11,2.33457,2.001797,0.5689028,1.7477436
21,4505729931149312,0.00114712,-0.00135934,-11.1036,-4.98789,-0.191419,-2.83075,1,13,5.738365,4.9915614,-0.54041564,3.1799507
22,4505798650626048,0.00114712,-0.00135934,-11.1036,-3.66426,-0.224678,-1.7399,-1,12,4.062577,3.6711416,-0.4577823,3.2028322
23,4505867370102784,0.00114712,-0.00135934,-11.1036,-22.8106,0.921502,-15.215,1,11,27.43481,22.829206,-0.62498224,3.1012166
24,4505936089579520,0.00114712,-0.00135934,-11.1036,-11.2399,0.378054,-7.83747,1,12,13.707815,11.246256,-0.6501218,3.1079702
25,4506004809056256,0.00114712,-0.00135934,-11.1036,-1.29236,0.470198,-1.0525,1,2,1.7317728,1.3752383,-0.7053596,2.7926517
26,4506073528532992,0.00114712,-0.00135934,-11.1036,-1.27566,-0.254618,-1.12904,-1,12,1.7224605,1.3008224,-0.7848487,3.3386009
27,4506142248009728,0.00114712,-0.00135934,-11.1036,-1.71762,0.855188,-1.71869,-1,9,2.5759387,1.9187405,-0.8056962,2.6796334
28,4506210967486464,0.00114712,-0.00135934,-11.1036,-0.196161,0.0295534,0.167268,1,8,0.2594824,0.19837475,0.76604134,2.9920583
29,4506279686963200,0.00114712,-0.00135934,-11.1036,-0.0170891,0.674442,-0.415401,1,15,0.7922891,0.6746585,-0.5822583,1.5961291
30,4506348406439936,0.00114712,-0.00135934,-11.1036,0.30308,0.760891,0.0640428,-1,11,0.8215316,0.81903154,0.07811386,1.1917369
31,4506417125916672,0.00114712,-0.00135934,-11.1036,0.183457,-0.292198,-0.192378,-1,9,0.39502588,0.34501615,-0.53212136,5.2730365
32,4506485845393408,0.00114712,-0.00135934,-11.1036,0.0636925,-0.18632,-0.79413,1,12,0.81817746,0.19690578,-2.1026967,5.0417805
33,4506554564870144,0.00114712,-0.00135934,-11.1036,-0.427078,-0.256867,-0.361632,-1,12,0.6157548,0.49837363,-0.6735324,3.6830795
34,4506623284346880,0.00114712,-0.00135934,-11.1036,-0.250055,0.342081,-0.83639,-1,12,0.93760073,0.42372975,-1.4318911,2.2020142
35,4506692003823616,0.00114712,-0.00135934,-11.1036,0.273826,0.248676,-0.304286,1,11,0.47896805,0.36989248,-0.7502448,0.73730147
36,4506760723300352,0.00114712,-0.00135934,-11.1036,0.352794,0.204703,-0.88489,-1,0,0.9743702,0.40788102,-1.5169586,0.52575874
37,4506829442777088,0.00114712,-0.00135934,-11.1036,-0.378006,0.317813,-0.116365,1,12,0.50738,0.4938559,-0.23349784,2.4424863
38,4506898162253824,0.00114712,-0.00135934,-11.1036,0.698192,1.8777,-2.61044,-1,13,3.290536,2.0033047,-1.0803195,1.2148045
39,4506966881730560,0.00114712,-0.00135934,-11.1036,0.22024,0.142512,-0.325055,1,10,0.41770333,0.26232675,-1.04078,0.57431686
40,4507035601207296,0.00114712,-0.00135934,-11.1036,0.337417,1.00008,-1.29784,-1,12,1.6728415,1.0554668,-1.0348083,1.2453992
41,4507104320684032,0.00114712,-0.00135934,-11.1036,1.81652,7.17499,-8.573,1,11,11.325924,7.4013667,-0.989001,1.3228327
42,4507173040160768,0.00114712,-0.00135934,-11.1036,4.94421,25.2913,-29.9472,-1,9,39.508606,25.77004,-0.991478,1.3777405
43,4507241759637504,0.00114712,-0.00135934,-11.1036,2.51713,13.1158,-15.6762,-1,11,20.593771,13.355155,-0.9990877,1.3811859
44,4507310479114240,0.00114712,-0.00135934,-11.1036,-0.255793,0.441505,3.7058,1,15,3.7407634,0.51025164,2.6806026,2.0959055
45,4507585357021184,0.00114712,-0.00135934,-11.1036,1.4905,-0.75266,-3.03826,1,12,3.466859,1.6697567,-1.3599114,5.8155684
46,4507654076497920,0.00114712,-0.00135934,-11.1036,-0.139985,-0.391796,-0.52722,-1,11,0.67161065,0.41605276,-1.0582898,4.369234
