,particle_id,vx,vy,vz,px,py,pz,q,nhits,p,pt,eta,phi
0,4503668346847232,-0.0141434,-0.0254092,0.205148,67.819,-36.7019,-25.5162,-1,11,81.225136,77.113205,-0.32513395,5.7871437
1,4503805785800704,-0.0141434,-0.0254092,0.205148,-3.0097,10.6623,37.3897,1,2,38.99657,11.078941,1.9307575,1.8459133
2,4504149383184384,-0.0141434,-0.0254092,0.205148,-4.91384,-12.4537,-58.7933,1,14,60.298363,13.388072,-2.1855302,4.3365736
3,4504286822137856,-0.0141434,-0.0254092,0.205148,0.258638,-0.509724,-9.90541,1,0,9.921887,0.57158744,-3.5464149,5.181946
4,4504355541614592,-0.0141434,-0.0254092,0.205148,-1.47489,-0.29632,-40.3344,-1,13,40.362446,1.5043623,-3.982292,3.339863
5,4504424261091328,-0.0141434,-0.0254092,0.205148,0.132925,0.205869,1.9868,-1,14,2.0018554,0.24505328,2.7897356,0.9974657
6,4504492980568064,-0.0141434,-0.0254092,0.205148,-0.45049,0.640775,1.62025,-1,12,1.799651,0.783284,1.4738716,2.1835592
7,4504561700044800,-0.0141434,-0.0254092,0.205148,-0.382059,2.64831,1.34246,1,14,2.993612,2.675727,0.48274785,1.7140731
8,4504630419521536,-0.0141434,-0.0254092,0.205148,-0.654805,1.61121,-0.69311,-1,13,1.8722095,1.7391858,-0.388666,1.9568126
9,4504699138998272,-0.0141434,-0.0254092,0.205148,0.0952139,0.486014,-0.318877,1,2,0.5890313,0.49525276,-0.6060751,1.3773388
10,4504767858475008,-0.0141434,-0.0254092,0.205148,-4.08089,-8.7734,32.308,1,14,33.72585,9.676064,1.9205128,4.277014
11,4504905297428480,-0.0141434,-0.0254092,0.205148,-2.42833,-0.106263,-1.52516,-1,8,2.869528,2.4306538,-0.5922362,3.1853247
12,4504974016905216,-0.0141434,-0.0254092,0.205148,-0.120184,-0.298831,-2.35222,1,14,2.37417,0.3220934,-2.686075,4.3300047
13,4505180175335424,-0.0141434,-0.0254092,0.205148,-0.480729,0.317846,2.21977,-1,10,2.2933612,0.57630414,2.0581102,2.5574017
14,4505248894812160,-0.0141434,-0.0254092,0.205148,-2.72838,2.89758,8.59539,1,5,9.472104,3.979953,1.5128447,2.3261287
15,4505317614288896,-0.0141434,-0.0254092,0.205148,-1.03123,0.750989,2.0498,1,8,2.414353,1.2757037,1.2525815,2.51216
16,4505386333765632,-0.0141434,-0.0254092,0.205148,-3.31678,1.74598,6.48717,-1,11,7.492186,3.7482631,1.3162892,2.6570425
17,4505455053242368,-0.0141434,-0.0254092,0.205148,-27.3726,14.5522,64.0749,1,8,71.18018,31.000416,1.4731619,2.6529593
18,4505592492195840,-0.0141434,-0.0254092,0.205148,0.671387,1.74355,1.91864,1,12,2.6780415,1.8683487,0.90027964,1.2032274
19,4505661211672576,-0.0141434,-0.0254092,0.205148,2.62346,8.26916,6.5793,-1,9,10.888009,8.675342,0.6998463,1.2635823
20,4505729931149312,-0.0141434,-0.0254092,0.205148,-0.847809,-0.215583,-7.10786,-1,11,7.1614895,0.8747892,-2.7918842,3.390598
21,4505798650626048,-0.0141434,-0.0254092,0.205148,0.0271343,-0.549132,-1.00271,-1,13,1.1435513,0.549802,-1.3619243,4.761762
22,4505867370102784,-0.0141434,-0.0254092,0.205148,-1.48976,0.130861,-5.76267,1,12,5.95356,1.4954964,-2.0585172,3.0539773
23,4505936089579520,-0.0141434,-0.0254092,0.205148,-1.12349,-0.158251,-3.27189,-1,12,3.4630244,1.1345806,-1.7810414,3.2815287
24,4506004809056256,-0.0141434,-0.0254092,0.205148,-0.985794,-0.207808,-0.460494,1,6,1.1077133,1.0074592,-0.4425016,3.3493536
