,particle_id,vx,vy,vz,px,py,pz,q,nhits,p,pt,eta,phi
0,4503737066323968,-0.00514298,0.0260143,-0.0928867,10.1233,16.0624,19.2909,1,12,27.066967,18.986362,0.89267004,1.0084319
1,4503874505277440,-0.00514298,0.0260143,-0.0928867,17.4493,-16.8727,61.4144,-1,12,66.03707,24.272743,1.6583812,5.5145855
2,4504080663707648,-0.00514298,0.0260143,-0.0928867,-0.61204,0.309958,3.08118,1,7,3.1566339,0.68605167,2.2074323,2.6728108
3,4504218102661120,-0.00514298,0.0260143,-0.0928867,-0.00630693,0.43314,5.13914,1,11,5.157365,0.4331859,3.1683912,1.5853562
4,4504286822137856,-0.00514298,0.0260143,-0.0928867,-0.864227,0.714477,6.03151,-1,13,6.1348577,1.1213232,2.3841653,2.4507678
5,4504355541614592,-0.00514298,0.0260143,-0.0928867,-0.288189,1.79543,8.27771,1,10,8.475087,1.8184118,2.2206025,1.7299513
6,4504424261091328,-0.00514298,0.0260143,-0.0928867,-0.301425,1.78637,-18.0811,-1,14,18.17163,1.8116223,-2.996295,1.7379577
7,4504492980568064,-0.00514298,0.0260143,-0.0928867,0.709994,-0.120361,-10.9466,1,1,10.970261,0.7201238,-3.4156003,6.115258
8,4504561700044800,-0.00514298,0.0260143,-0.0928867,-0.0326445,0.871992,-22.9505,1,0,22.967083,0.8726028,-3.963142,1.6082156
9,4504767858475008,-0.00514298,0.0260143,-0.0928867,-0.101175,-0.42101,-2.32,1,12,2.3600605,0.4329963,-2.3803368,4.4765463
10,4504836577951744,-0.00514298,0.0260143,-0.0928867,0.227284,-0.64467,-2.49298,1,11,2.5849965,0.68356234,-2.00535,5.0513415
11,4504905297428480,-0.00514298,0.0260143,-0.0928867,-0.224358,0.12981,-0.610009,-1,5,0.6627957,0.25920483,-1.5913595,2.617069
12,4505180175335424,-0.00514298,0.0260143,-0.0928867,-0.160827,-0.159332,5.32949,-1,10,5.334296,0.22638907,3.85236,3.9223216
13,4505248894812160,-0.00514298,0.0260143,-0.0928867,-0.855935,0.381582,1.21393,-1,11,1.5335761,0.937139,1.0756172,2.722231
14,4505317614288896,-0.00514298,0.0260143,-0.0928867,-4.86874,-2.78829,70.1505,1,9,70.374504,5.610632,3.2207322,3.6616912
15,4505386333765632,-0.00514298,0.0260143,-0.0928867,0.0765957,-0.955651,16.6775,-1,14,16.705032,0.9587156,3.550201,4.7923684
16,4505455053242368,-0.00514298,0.0260143,-0.0928867,-1.16163,-0.527802,10.358,1,12,10.436289,1.275915,2.791014,3.5680692
17,4505523772719104,-0.00514298,0.0260143,-0.0928867,1.74839,-0.642964,5.46874,1,7,5.7773166,1.8628662,1.7979016,5.9307895
18,4505592492195840,-0.00514298,0.0260143,-0.0928867,1.68668,-1.36266,-10.826,1,11,11.041015,2.1683476,-2.311015,5.603649
19,4505661211672576,-0.00514298,0.0260143,-0.0928867,0.394295,-0.320139,-5.48227,-1,13,5.505746,0.5078952,-3.0742877,5.601214
